X     Y     River     Chainage
401960.594    491609.000    EMATAGODA ELA       0.000  
401939.406    491619.969    EMATAGODA ELA      24.045  
401919.563    491631.969    EMATAGODA ELA      48.090  
401915.438    491650.563    EMATAGODA ELA      67.290  
401911.312    491669.156    EMATAGODA ELA      86.490  
401907.531    491686.031    EMATAGODA ELA     103.925  
401903.781    491702.938    EMATAGODA ELA     121.360  
401896.594    491723.406    EMATAGODA ELA     143.820  
401880.844    491739.156    EMATAGODA ELA     166.280  
401860.219    491750.969    EMATAGODA ELA     191.660  
401835.156    491753.500    EMATAGODA ELA     217.040  
401805.250    491756.469    EMATAGODA ELA     247.335  
401775.344    491759.469    EMATAGODA ELA     277.630  
401753.375    491765.531    EMATAGODA ELA     300.685  
401731.687    491772.781    EMATAGODA ELA     323.740  
401709.219    491780.250    EMATAGODA ELA     347.610  
401686.750    491787.750    EMATAGODA ELA     371.480  
401682.719    491789.094    EMATAGODA ELA     375.740  
401679.719    491791.313    EMATAGODA ELA     380.000  
401679.719    491791.313    EMATAGODA ELA     380.000  
401675.344    491812.344    EMATAGODA ELA     401.640  
401670.969    491833.375    EMATAGODA ELA     423.280  
401665.531    491859.500    EMATAGODA ELA     450.175  
401660.094    491885.625    EMATAGODA ELA     477.070  
401655.281    491908.625    EMATAGODA ELA     500.770  
401650.500    491931.656    EMATAGODA ELA     524.470  
401645.719    491954.625    EMATAGODA ELA     548.110  
401640.906    491977.594    EMATAGODA ELA     571.750  
401636.031    492001.000    EMATAGODA ELA     595.840  
401631.156    492024.375    EMATAGODA ELA     619.930  
401643.406    492040.438    EMATAGODA ELA     642.830  
401661.344    492054.375    EMATAGODA ELA     665.730  
401681.000    492069.656    EMATAGODA ELA     690.810  
401700.625    492084.938    EMATAGODA ELA     715.890  
401715.031    492096.156    EMATAGODA ELA     734.285  
401721.688    492111.844    EMATAGODA ELA     752.680  
401724.750    492133.313    EMATAGODA ELA     774.515  
401727.813    492154.750    EMATAGODA ELA     796.350  
401725.281    492177.531    EMATAGODA ELA     820.845  
401712.406    492198.156    EMATAGODA ELA     845.340  
401698.406    492220.563    EMATAGODA ELA     871.955  
401684.406    492242.938    EMATAGODA ELA     898.570  
401669.562    492266.688    EMATAGODA ELA     926.795  
401654.719    492290.438    EMATAGODA ELA     955.020  
401649.469    492298.844    EMATAGODA ELA     965.010  
401644.219    492307.250    EMATAGODA ELA     975.000  
401644.219    492307.250    EMATAGODA ELA     975.000  
401638.469    492316.469    EMATAGODA ELA     985.945  
401632.719    492325.656    EMATAGODA ELA     996.890  
401618.250    492351.844    EMATAGODA ELA    1027.025  
401604.062    492378.156    EMATAGODA ELA    1057.160  
401601.719    492382.531    EMATAGODA ELA    1062.160  
401599.375    492386.906    EMATAGODA ELA    1067.160  
401596.625    492392.000    EMATAGODA ELA    1073.010  
401593.875    492397.125    EMATAGODA ELA    1078.860  
401579.375    492424.031    EMATAGODA ELA    1109.685  
401564.844    492450.969    EMATAGODA ELA    1140.510  
401549.094    492472.281    EMATAGODA ELA    1167.390  
401531.375    492492.219    EMATAGODA ELA    1194.270  
401508.250    492518.188    EMATAGODA ELA    1229.320  
401485.156    492544.188    EMATAGODA ELA    1264.370  
401469.313    492575.406    EMATAGODA ELA    1299.985  
401455.594    492607.969    EMATAGODA ELA    1335.600  
401449.938    492621.438    EMATAGODA ELA    1350.300  
401444.281    492634.875    EMATAGODA ELA    1365.000  
401442.344    492639.438    EMATAGODA ELA    1370.000  
401440.406    492644.000    EMATAGODA ELA    1375.000  
401435.000    492656.875    EMATAGODA ELA    1389.075  
401429.563    492669.750    EMATAGODA ELA    1403.150  
401418.469    492696.125    EMATAGODA ELA    1431.980  
401407.375    492722.469    EMATAGODA ELA    1460.810  
401401.531    492751.563    EMATAGODA ELA    1491.730  
401405.594    492781.969    EMATAGODA ELA    1522.650  
401408.844    492806.438    EMATAGODA ELA    1547.510  
401412.125    492830.875    EMATAGODA ELA    1572.370  
401416.125    492860.875    EMATAGODA ELA    1602.875  
401420.469    492890.781    EMATAGODA ELA    1633.380  
401431.625    492909.688    EMATAGODA ELA    1655.530  
401442.813    492928.625    EMATAGODA ELA    1677.680  
401461.594    492960.375    EMATAGODA ELA    1714.875  
401480.375    492992.156    EMATAGODA ELA    1752.070  
401498.781    493023.281    EMATAGODA ELA    1788.515  
401517.156    493054.438    EMATAGODA ELA    1824.960  
401533.594    493082.219    EMATAGODA ELA    1857.500  
401550.000    493110.031    EMATAGODA ELA    1890.040  
401563.438    493124.656    EMATAGODA ELA    1910.035  
401576.844    493139.281    EMATAGODA ELA    1930.030  
401592.656    493156.531    EMATAGODA ELA    1953.640  
401608.500    493173.813    EMATAGODA ELA    1977.250  
401623.219    493189.875    EMATAGODA ELA    1999.195  
401637.906    493205.906    EMATAGODA ELA    2021.140  
401649.875    493218.938    EMATAGODA ELA    2038.965  
401658.000    493231.813    EMATAGODA ELA    2056.790  
401641.031    493247.062    EMATAGODA ELA    2079.785  
401624.094    493262.344    EMATAGODA ELA    2102.780  
401601.906    493282.281    EMATAGODA ELA    2132.840  
401579.750    493302.250    EMATAGODA ELA    2162.900  
401562.781    493317.500    EMATAGODA ELA    2185.900  
401545.813    493332.781    EMATAGODA ELA    2208.900  
401525.500    493351.063    EMATAGODA ELA    2236.460  
401505.156    493369.344    EMATAGODA ELA    2264.020  
401497.781    493376.000    EMATAGODA ELA    2274.030  
401490.406    493382.656    EMATAGODA ELA    2284.040  
401486.719    493385.969    EMATAGODA ELA    2289.040  
401483.031    493389.281    EMATAGODA ELA    2294.040  
401473.813    493397.563    EMATAGODA ELA    2306.525  
401464.594    493405.844    EMATAGODA ELA    2319.010  
401464.594    493405.844    EMATAGODA ELA    2319.010  
401460.000    493427.250    EMATAGODA ELA    2342.650  
401460.000    493450.719    EMATAGODA ELA    2366.290  
401460.000    493475.219    EMATAGODA ELA    2390.975  
401450.219    493497.125    EMATAGODA ELA    2415.660  
401439.188    493516.406    EMATAGODA ELA    2438.075  
401428.156    493535.719    EMATAGODA ELA    2460.490  
401414.781    493555.969    EMATAGODA ELA    2485.045  
401398.719    493574.313    EMATAGODA ELA    2509.600  
401384.219    493590.875    EMATAGODA ELA    2531.805  
401369.719    493607.469    EMATAGODA ELA    2554.010  
401355.156    493624.125    EMATAGODA ELA    2576.305  
401337.094    493636.188    EMATAGODA ELA    2598.600  
401314.187    493647.187    EMATAGODA ELA    2624.215  
401291.281    493658.188    EMATAGODA ELA    2649.830  
401269.438    493668.656    EMATAGODA ELA    2674.245  
401247.594    493679.156    EMATAGODA ELA    2698.660  
401222.781    493691.063    EMATAGODA ELA    2726.405  
401197.969    493702.969    EMATAGODA ELA    2754.150  
401173.500    493714.719    EMATAGODA ELA    2781.485  
401149.063    493726.438    EMATAGODA ELA    2808.820  
401131.063    493735.094    EMATAGODA ELA    2828.940  
401113.063    493743.719    EMATAGODA ELA    2849.060  
401097.125    493748.094    EMATAGODA ELA    2867.150  
401082.188    493738.125    EMATAGODA ELA    2885.240  
401078.250    493735.500    EMATAGODA ELA    2890.000  
401073.938    493732.625    EMATAGODA ELA    2895.240  
401071.969    493731.313    EMATAGODA ELA    2897.620  
401070.000    493730.000    EMATAGODA ELA    2900.000  
402205.000    489998.500    MAHAWATTA ELA       0.000  
402207.156    490001.219    MAHAWATTA ELA       3.478  
402209.312    490003.938    MAHAWATTA ELA       6.957  
402211.469    490006.656    MAHAWATTA ELA      10.435  
402213.656    490009.375    MAHAWATTA ELA      13.913  
402215.813    490012.125    MAHAWATTA ELA      17.392  
402217.969    490014.844    MAHAWATTA ELA      20.870  
402219.000    490016.125    MAHAWATTA ELA      22.525  
402220.031    490017.438    MAHAWATTA ELA      24.180  
402222.688    490020.813    MAHAWATTA ELA      28.482  
402225.375    490024.156    MAHAWATTA ELA      32.783  
402228.062    490027.531    MAHAWATTA ELA      37.085  
402230.656    490030.969    MAHAWATTA ELA      41.387  
402233.031    490034.531    MAHAWATTA ELA      45.688  
402235.406    490038.125    MAHAWATTA ELA      49.990  
402236.813    490040.219    MAHAWATTA ELA      52.493  
402238.188    490042.281    MAHAWATTA ELA      54.995  
402239.594    490044.375    MAHAWATTA ELA      57.498  
402240.969    490046.469    MAHAWATTA ELA      60.000  
402240.969    490046.469    MAHAWATTA ELA      60.000  
402243.156    490049.719    MAHAWATTA ELA      63.938  
402245.344    490053.000    MAHAWATTA ELA      67.875  
402247.531    490056.281    MAHAWATTA ELA      71.813  
402249.719    490059.563    MAHAWATTA ELA      75.750  
402249.625    490062.969    MAHAWATTA ELA      79.283  
402249.188    490066.500    MAHAWATTA ELA      82.817  
402248.750    490070.000    MAHAWATTA ELA      86.350  
402248.313    490073.500    MAHAWATTA ELA      89.883  
402247.875    490077.000    MAHAWATTA ELA      93.417  
402247.438    490080.500    MAHAWATTA ELA      96.950  
402246.875    490084.906    MAHAWATTA ELA     101.371  
402246.344    490089.281    MAHAWATTA ELA     105.791  
402245.781    490093.656    MAHAWATTA ELA     110.212  
402245.250    490098.063    MAHAWATTA ELA     114.633  
402244.688    490102.438    MAHAWATTA ELA     119.054  
402244.156    490106.844    MAHAWATTA ELA     123.474  
402243.594    490111.219    MAHAWATTA ELA     127.895  
402243.063    490115.594    MAHAWATTA ELA     132.316  
402242.500    490120.000    MAHAWATTA ELA     136.736  
402241.938    490124.375    MAHAWATTA ELA     141.157  
402241.406    490128.750    MAHAWATTA ELA     145.578  
402240.844    490133.156    MAHAWATTA ELA     149.999  
402240.313    490137.531    MAHAWATTA ELA     154.419  
402240.000    490141.938    MAHAWATTA ELA     158.840  
402240.000    490144.250    MAHAWATTA ELA     161.150  
402240.000    490146.563    MAHAWATTA ELA     163.460  
402240.000    490151.563    MAHAWATTA ELA     168.460  
402240.000    490156.563    MAHAWATTA ELA     173.460  
402240.000    490161.531    MAHAWATTA ELA     178.431  
402240.000    490166.500    MAHAWATTA ELA     183.402  
402240.000    490171.469    MAHAWATTA ELA     188.372  
402240.000    490176.438    MAHAWATTA ELA     193.343  
402240.000    490181.406    MAHAWATTA ELA     198.314  
402240.000    490186.375    MAHAWATTA ELA     203.285  
402240.000    490191.344    MAHAWATTA ELA     208.256  
402240.000    490196.313    MAHAWATTA ELA     213.227  
402240.000    490201.281    MAHAWATTA ELA     218.197  
402240.000    490206.281    MAHAWATTA ELA     223.168  
402240.000    490211.250    MAHAWATTA ELA     228.139  
402240.000    490216.219    MAHAWATTA ELA     233.110  
402240.000    490221.188    MAHAWATTA ELA     238.081  
402240.000    490226.156    MAHAWATTA ELA     243.052  
402240.000    490231.125    MAHAWATTA ELA     248.023  
